"city","latitude","stAddress1","stationName","landMark","lastCommunicationTime","id","availableDocks","totalDocks","altitude","stAddress2","longitude","statusValue","testStation","location","postalCode","statusKey","availableBikes"
"",40.73543934,"W 13 St & 5 Ave","W 13 St & 5 Ave","","2015-12-11 11:54:30 AM",253,19,55,"","",-73.99453948,"In Service",False,"","",1,33
"",40.73532427,"W 11 St & 6 Ave","W 11 St & 6 Ave","","2015-12-11 11:54:19 AM",254,28,31,"","",-73.99800419,"In Service",False,"","",1,3
"",40.71939226,"Lispenard St & Broadway","Lispenard St & Broadway","","2015-12-11 11:51:01 AM",257,3,39,"","",-74.00247214,"In Service",False,"","",1,33
"",40.68940747,"DeKalb Ave & Vanderbilt Ave","DeKalb Ave & Vanderbilt Ave","","2015-12-11 11:50:53 AM",258,20,23,"","",-73.96885458,"In Service",False,"","",1,1
"",40.70122128,"South St & Whitehall St","South St & Whitehall St","","2015-12-11 11:52:15 AM",259,3,39,"","",-74.01234218,"In Service",False,"","",1,36
"",40.70365182,"Broad St & Bridge St","Broad St & Bridge St","","2015-12-11 11:51:42 AM",260,0,35,"","",-74.01167797,"In Service",False,"","",1,35
"",40.69474881,"Johnson St & Gold St","Johnson St & Gold St","","2015-12-11 11:54:28 AM",261,20,27,"","",-73.98362464,"In Service",False,"","",1,6
"",40.6917823,"Washington Park","Washington Park","","2015-12-11 11:54:19 AM",262,24,24,"","",-73.9737299,"In Service",False,"","",1,0
"",40.71729,"Elizabeth St & Hester St","Elizabeth St & Hester St","","2015-12-11 11:54:34 AM",263,29,31,"","",-73.996375,"In Service",False,"","",1,2
"",40.70706456,"Maiden Ln & Pearl St","Maiden Ln & Pearl St","","2015-12-11 11:53:31 AM",264,1,27,"","",-74.00731853,"In Service",False,"","",1,26
"",40.72229346,"Stanton St & Chrystie St","Stanton St & Chrystie St","","2015-12-11 11:53:50 AM",265,32,35,"","",-73.99147535,"In Service",False,"","",1,0
"",40.72368361,"Avenue D & E 8 St","Avenue D & E 8 St","","2015-12-11 11:54:05 AM",266,24,24,"","",-73.97574813,"In Service",False,"","",1,0
"",40.75097711,"Broadway & W 36 St","Broadway & W 36 St","","2015-12-11 11:54:30 AM",267,51,57,"","",-73.98765428,"In Service",False,"","",1,5
"",40.71910537,"Howard St & Centre St","Howard St & Centre St","","2015-12-11 11:52:42 AM",268,0,27,"","",-73.99973337,"In Service",False,"","",1,27
"",40.69308257,"Adelphi St & Myrtle Ave","Adelphi St & Myrtle Ave","","2015-12-11 11:54:20 AM",270,21,23,"","",-73.97178913,"In Service",False,"","",1,1
"",40.68691865,"Lafayette Ave & Fort Greene Pl","Lafayette Ave & Fort Greene Pl","","2015-12-11 11:53:48 AM",274,18,31,"","",-73.976682,"In Service",False,"","",1,12
"",40.68650065,"Washington Ave & Greene Ave","Washington Ave & Greene Ave","","2015-12-11 11:52:45 AM",275,19,19,"","",-73.96563307,"In Service",False,"","",1,0
"",40.71748752,"Duane St & Greenwich St","Duane St & Greenwich St","","2015-12-11 11:52:26 AM",276,9,25,"","",-74.0104554,"In Service",False,"","",1,16
"",40.69766564,"Concord St & Bridge St","Concord St & Bridge St","","2015-12-11 11:51:04 AM",278,19,19,"","",-73.98476437,"In Service",False,"","",1,0
"",40.707873,"Peck Slip & Front St","Peck Slip & Front St","","2015-12-11 11:52:32 AM",279,13,36,"","",-74.00167,"In Service",False,"","",1,22
"",40.73331967,"E 10 St & 5 Ave","E 10 St & 5 Ave","","2015-12-11 11:53:16 AM",280,4,31,"","",-73.99510132,"In Service",False,"","",1,26
"",40.7643971,"Grand Army Plaza & Central Park S","Grand Army Plaza & Central Park S","","2015-12-11 11:51:43 AM",281,0,59,"","",-73.97371465,"In Service",False,"","",1,57
"",40.70827295,"Kent Ave & S 11 St","Kent Ave & S 11 St","","2015-12-11 11:53:09 AM",282,14,27,"","",-73.96834101,"In Service",False,"","",1,13
"",40.7390169121,"Greenwich Ave & 8 Ave","Greenwich Ave & 8 Ave","","2015-12-11 11:53:22 AM",284,28,43,"","",-74.0026376103,"In Service",False,"","",1,12
"",40.73454567,"Broadway & E 14 St","Broadway & E 14 St","","2015-12-11 11:53:12 AM",285,21,47,"","",-73.99074142,"In Service",False,"","",1,21
"",40.6845683,"Monroe St & Classon Ave","Monroe St & Classon Ave","","2015-12-11 11:51:24 AM",289,18,19,"","",-73.95881081,"In Service",False,"","",1,1
"",40.76020258,"2 Ave & E 58 St","2 Ave & E 58 St","","2015-11-09 10:53:19 AM",290,0,5,"","",-73.96478473,"Not In Service",False,"","",3,0
"",40.713126,"Madison St & Montgomery St","Madison St & Montgomery St","","2015-12-11 11:53:02 AM",291,16,20,"","",-73.984844,"In Service",False,"","",1,3
"",40.73028666,"Lafayette St & E 8 St","Lafayette St & E 8 St","","2015-12-11 11:54:44 AM",293,9,55,"","",-73.9907647,"In Service",False,"","",1,44
"",40.73049393,"Washington Square E","Washington Square E","","2015-11-08 05:23:28 PM",294,3,3,"","",-73.9957214,"Not In Service",False,"","",3,0
"",40.71406667,"Pike St & E Broadway","Pike St & E Broadway","","2015-12-11 11:51:57 AM",295,23,24,"","",-73.99293911,"In Service",False,"","",1,0
"",40.71413089,"Division St & Bowery","Division St & Bowery","","2015-12-11 11:53:10 AM",296,25,35,"","",-73.9970468,"In Service",False,"","",1,8
