id,stationName,latitude,longitude,Neighbourhood,Borough
3053,Marcy Ave & Lafayette Ave,40.6900815,-73.947915,BK75,Brooklyn
3055,Greene Ave & Nostrand Ave,40.6883337,-73.950916,BK75,Brooklyn
3056,Kosciuszko St & Nostrand Ave,40.69072549,-73.95133465,BK75,Brooklyn
3057,Kosciuszko St & Tompkins Ave,40.69128258,-73.9452416,BK75,Brooklyn
3060,Willoughby Ave & Tompkins Ave,40.69425403,-73.94626915,BK75,Brooklyn
3061,Throop Ave & Myrtle Ave,40.69622937,-73.94371094,BK75,Brooklyn
3062,Myrtle Ave & Marcy Ave,40.69539817,-73.94954908,BK75,Brooklyn
3063,Nostrand Ave & Myrtle Ave,40.69527008,-73.95238108,BK75,Brooklyn
3065,Union Ave & Wallabout St,40.70029511,-73.95032283,BK75,Brooklyn
3066,Tompkins Ave & Hopkins St,40.69957608,-73.94708417,BK75,Brooklyn
3067,Broadway & Whipple St,40.7016657,-73.9437303,BK75,Brooklyn
3229,Marcy Ave & MacDonough St,40.68061768,-73.94624949,BK75,Brooklyn
3105,N 15 St & Wythe Ave,40.724055,-73.955736,BK76,Brooklyn
3106,Driggs Ave & N Henry St,40.72325,-73.94308,BK76,Brooklyn
3108,Nassau Ave & Russell St,40.72557,-73.94434,BK76,Brooklyn
3109,Banker St & Meserole Ave,40.72606,-73.95621,BK76,Brooklyn
3110,Meserole Ave & Manhattan Ave,40.72708584,-73.95299117,BK76,Brooklyn
3111,Norman Ave & Leonard St,40.7258483,-73.95064893,BK76,Brooklyn
3112,Milton St & Franklin St,40.72906,-73.95779,BK76,Brooklyn
3113,Greenpoint Ave & Manhattan Ave,40.73026,-73.95394,BK76,Brooklyn
3114,India St & East River,40.73165141,-73.96161892,BK76,Brooklyn
3115,India St & Manhattan Ave,40.73232194,-73.9550858,BK76,Brooklyn
3116,Huron St & Franklin St,40.73266,-73.95826,BK76,Brooklyn
3117,Franklin St & Dupont St,40.73564,-73.95866,BK76,Brooklyn
3118,McGuinness Blvd & Eagle St,40.73555,-73.95284,BK76,Brooklyn
3068,Humboldt St & Varet St,40.7031724,-73.940636,BK78,Brooklyn
3074,Montrose Ave & Bushwick Ave,40.70767788,-73.94016171,BK78,Brooklyn
3179,Park Ave & Marcus Garvey Blvd,40.698617,-73.941342,BK78,Brooklyn
3070,McKibbin St & Manhattan Ave,40.70510918,-73.94407279,BK90,Brooklyn
3071,Boerum St & Broadway,40.70538077,-73.94976519,BK90,Brooklyn
3072,Leonard St & Boerum St,40.70583339,-73.94644578,BK90,Brooklyn
3076,Scholes St & Manhattan Ave,40.70870368,-73.9448625,BK90,Brooklyn
3079,Leonard St & Grand St,40.71103537,-73.94714303,BK90,Brooklyn
3081,Graham Ave & Grand St,40.711863,-73.944024,BK90,Brooklyn
3083,Bushwick Ave & Powers St,40.71247661,-73.94100005,BK90,Brooklyn
3084,Devoe St & Leonard St,40.71348658,-73.94792458,BK90,Brooklyn
3086,Graham Ave & Conselyea St,40.715143,-73.944507,BK90,Brooklyn
3087,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386,BK90,Brooklyn
3089,Leonard St & Meeker Ave,40.7173184,-73.94820213,BK90,Brooklyn
3094,Graham Ave & Withers St,40.7169811,-73.94485918,BK90,Brooklyn
3095,Graham Ave & Herbert St,40.71929301,-73.94500379,BK90,Brooklyn
3097,N Henry St & Richardson St,40.71921585,-73.9424469,BK90,Brooklyn
313,Washington Ave & Park Ave,40.69610226,-73.96751037,BK99,Brooklyn
343,Clinton Ave & Flushing Ave,40.69794,-73.96986848,BK99,Brooklyn
2001,Sands St & Navy St,40.699773,-73.979927,BK99,Brooklyn
2005,Railroad Ave & Kay Ave,40.70531194,-73.97100056,BK99,Brooklyn
3161,W 76 St & Columbus Ave,40.78018397,-73.97728533,MN12,Manhattan
3162,W 78 St & Broadway,40.78339981,-73.98093133,MN12,Manhattan
3166,Riverside Dr & W 72 St,40.78057799,-73.98562431,MN12,Manhattan
3169,Riverside Dr & W 82 St,40.78720869,-73.98128127,MN12,Manhattan
3170,W 84 St & Columbus Ave,40.78499979,-73.97283406,MN12,Manhattan
3171,Amsterdam Ave & W 82 St,40.78524672,-73.97667321,MN12,Manhattan
3177,W 84 St & Broadway,40.7867947,-73.977112,MN12,Manhattan
3178,Riverside Dr & W 78 St,40.78414472,-73.98362492,MN12,Manhattan
3226,W 82 St & Central Park West,40.78275,-73.97137,MN12,Manhattan
116,W 17 St & 8 Ave,40.74177603,-74.00149746,MN13,Manhattan
168,W 18 St & 6 Ave,40.73971301,-73.99456405,MN13,Manhattan
212,W 16 St & The High Line,40.74334935,-74.00681753,MN13,Manhattan
334,W 20 St & 7 Ave,40.74238787,-73.99726235,MN13,Manhattan
388,W 26 St & 10 Ave,40.74971775,-74.00295035,MN13,Manhattan
402,Broadway & E 22 St,40.7403432,-73.98955109,MN13,Manhattan
434,9 Ave & W 18 St,40.74317449,-74.00366443,MN13,Manhattan
435,W 21 St & 6 Ave,40.74173969,-73.99415556,MN13,Manhattan
444,Broadway & W 24 St,40.7423543,-73.98915076,MN13,Manhattan
446,W 24 St & 7 Ave,40.74487634,-73.99529885,MN13,Manhattan
448,W 37 St & 10 Ave,40.75660359,-73.9979009,MN13,Manhattan
453,W 22 St & 8 Ave,40.74475148,-73.99915362,MN13,Manhattan
458,11 Ave & W 27 St,40.751396,-74.005226,MN13,Manhattan
459,W 20 St & 11 Ave,40.746745,-74.007756,MN13,Manhattan
462,W 22 St & 10 Ave,40.74691959,-74.00451887,MN13,Manhattan
463,9 Ave & W 16 St,40.74206539,-74.00443172,MN13,Manhattan
466,W 25 St & 6 Ave,40.74395411,-73.99144871,MN13,Manhattan
470,W 20 St & 8 Ave,40.74345335,-74.00004031,MN13,Manhattan
478,11 Ave & W 41 St,40.76030096,-73.99884222,MN13,Manhattan
482,W 15 St & 7 Ave,40.73935542,-73.99931783,MN13,Manhattan
489,10 Ave & W 28 St,40.75066386,-74.00176802,MN13,Manhattan
490,8 Ave & W 33 St,40.751551,-73.993934,MN13,Manhattan
491,E 24 St & Park Ave S,40.74096374,-73.98602213,MN13,Manhattan
494,W 26 St & 8 Ave,40.74734825,-73.99723551,MN13,Manhattan
496,E 16 St & 5 Ave,40.73726186,-73.99238967,MN13,Manhattan
497,E 17 St & Broadway,40.73704984,-73.99009296,MN13,Manhattan
509,9 Ave & W 22 St,40.7454973,-74.00197139,MN13,Manhattan
512,W 29 St & 9 Ave,40.7500727,-73.99839279,MN13,Manhattan
514,12 Ave & W 40 St,40.76087502,-74.00277668,MN13,Manhattan
521,8 Ave & W 31 St,40.75096735,-73.99444208,MN13,Manhattan
525,W 34 St & 11 Ave,40.75594159,-74.0021163,MN13,Manhattan
3230,Penn Station Valet,40.7512836,-73.99692446,MN13,Manhattan
422,W 59 St & 10 Ave,40.770513,-73.988038,MN14,Manhattan
499,Broadway & W 60 St,40.76915505,-73.98191841,MN14,Manhattan
530,11 Ave & W 59 St,40.771522,-73.990541,MN14,Manhattan
3158,W 63 St & Broadway,40.77163851,-73.98261428,MN14,Manhattan
3159,W 67 St & Broadway,40.77492513,-73.98266566,MN14,Manhattan
3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,MN14,Manhattan
3167,Amsterdam Ave & W 73 St,40.77966809,-73.98093045,MN14,Manhattan
3172,W 74 St & Columbus Ave,40.7785669,-73.97754961,MN14,Manhattan
3173,Riverside Blvd & W 67 St,40.77750703,-73.98888588,MN14,Manhattan
3175,W 70 St & Amsterdam Ave,40.77748046,-73.98288594,MN14,Manhattan
3176,W 64 St & West End Ave,40.77452835,-73.98753759,MN14,Manhattan
72,W 52 St & 11 Ave,40.76727216,-73.99392888,MN15,Manhattan
423,W 54 St & 9 Ave,40.76584941,-73.98690506,MN15,Manhattan
447,8 Ave & W 52 St,40.76370739,-73.9851615,MN15,Manhattan
449,W 52 St & 9 Ave,40.76461837,-73.98789473,MN15,Manhattan
450,W 49 St & 8 Ave,40.76227205,-73.98788205,MN15,Manhattan
479,9 Ave & W 45 St,40.76019252,-73.9912551,MN15,Manhattan
480,W 53 St & 10 Ave,40.76669671,-73.99061728,MN15,Manhattan
488,W 39 St & 9 Ave,40.75645824,-73.99372222,MN15,Manhattan
495,W 47 St & 10 Ave,40.76269882,-73.99301222,MN15,Manhattan
508,W 46 St & 11 Ave,40.76341379,-73.99667444,MN15,Manhattan
513,W 56 St & 10 Ave,40.768254,-73.988639,MN15,Manhattan
515,W 43 St & 10 Ave,40.76009437,-73.99461843,MN15,Manhattan
529,W 42 St & 8 Ave,40.7575699,-73.99098507,MN15,Manhattan
2021,W 45 St & 8 Ave,40.75929124,-73.98859651,MN15,Manhattan
3236,PABT Valet,40.75898481,-73.99379969,MN15,Manhattan
137,E 56 St & Madison Ave,40.761628,-73.972924,MN17,Manhattan
173,Broadway & W 49 St,40.76064679,-73.98442659,MN17,Manhattan
267,Broadway & W 36 St,40.75097711,-73.98765428,MN17,Manhattan
281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,MN17,Manhattan
318,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,MN17,Manhattan
352,W 56 St & 6 Ave,40.76340613,-73.97722479,MN17,Manhattan
362,Broadway & W 37 St,40.75172632,-73.98753523,MN17,Manhattan
379,W 31 St & 7 Ave,40.749156,-73.9916,MN17,Manhattan
442,W 27 St & 7 Ave,40.746647,-73.993915,MN17,Manhattan
456,E 53 St & Madison Ave,40.7597108,-73.97402311,MN17,Manhattan
457,Broadway & W 58 St,40.76695317,-73.98169333,MN17,Manhattan
465,Broadway & W 41 St,40.75513557,-73.98658032,MN17,Manhattan
468,Broadway & W 55 St,40.7652654,-73.98192338,MN17,Manhattan
469,Broadway & W 53 St,40.76344058,-73.98268129,MN17,Manhattan
474,5 Ave & E 29 St,40.7451677,-73.98683077,MN17,Manhattan
477,W 41 St & 8 Ave,40.75640548,-73.9900262,MN17,Manhattan
484,W 44 St & 5 Ave,40.75500254,-73.98014437,MN17,Manhattan
485,W 37 St & 5 Ave,40.75038009,-73.98338988,MN17,Manhattan
486,Broadway & W 29 St,40.7462009,-73.98855723,MN17,Manhattan
492,W 33 St & 7 Ave,40.75019995,-73.99093085,MN17,Manhattan
493,W 45 St & 6 Ave,40.7568001,-73.98291153,MN17,Manhattan
498,Broadway & W 32 St,40.74854862,-73.98808416,MN17,Manhattan
500,Broadway & W 51 St,40.76228826,-73.98336183,MN17,Manhattan
505,6 Ave & W 33 St,40.74901271,-73.98848395,MN17,Manhattan
510,W 51 St & 6 Ave,40.7606597,-73.98042047,MN17,Manhattan
520,W 52 St & 5 Ave,40.75992262,-73.97648516,MN17,Manhattan
523,W 38 St & 8 Ave,40.75466591,-73.99138152,MN17,Manhattan
524,W 43 St & 6 Ave,40.75527307,-73.98316936,MN17,Manhattan
526,E 33 St & 5 Ave,40.74765947,-73.98490707,MN17,Manhattan
533,Broadway & W 39 St,40.75299641,-73.98721619,MN17,Manhattan
538,E 48 St & Madison Ave,40.75666,-73.976684,MN17,Manhattan
3233,E 48 St & 5 Ave,40.75724568,-73.97805914,MN17,Manhattan
164,E 47 St & 2 Ave,40.75323098,-73.97032517,MN19,Manhattan
228,E 48 St & 3 Ave,40.7546011,-73.97187886,MN19,Manhattan
290,2 Ave & E 58 St,40.76020258,-73.96478473,MN19,Manhattan
305,E 58 St & 3 Ave,40.76095756,-73.96724467,MN19,Manhattan
359,E 47 St & Park Ave,40.75510267,-73.97498696,MN19,Manhattan
367,E 53 St & Lexington Ave,40.75828065,-73.97069431,MN19,Manhattan
385,E 55 St & 2 Ave,40.75797322,-73.96603308,MN19,Manhattan
440,E 45 St & 3 Ave,40.75255434,-73.97282625,MN19,Manhattan
441,E 52 St & 2 Ave,40.756014,-73.967416,MN19,Manhattan
454,E 51 St & 1 Ave,40.75455731,-73.96592976,MN19,Manhattan
455,1 Ave & E 44 St,40.75001986,-73.96905301,MN19,Manhattan
464,E 56 St & 3 Ave,40.75934501,-73.96759673,MN19,Manhattan
501,FDR Drive & E 35 St,40.744219,-73.97121214,MN19,Manhattan
516,E 47 St & 1 Ave,40.75206862,-73.96784384,MN19,Manhattan
522,E 51 St & Lexington Ave,40.75714758,-73.97207836,MN19,Manhattan
2017,E 43 St & 2 Ave,40.75022392,-73.97121414,MN19,Manhattan
2023,E 55 St & Lexington Ave,40.75968085,-73.97031366,MN19,Manhattan
3223,E 55 St & 3 Ave,40.75899656,-73.96865398,MN19,Manhattan
153,E 40 St & 5 Ave,40.75206231,-73.9816324,MN20,Manhattan
160,E 37 St & Lexington Ave,40.748238,-73.978311,MN20,Manhattan
167,E 39 St & 3 Ave,40.7489006,-73.97604882,MN20,Manhattan
174,E 25 St & 1 Ave,40.7381765,-73.97738662,MN20,Manhattan
472,E 32 St & Park Ave,40.7457121,-73.98194829,MN20,Manhattan
476,E 31 St & 3 Ave,40.74394314,-73.97966069,MN20,Manhattan
507,E 25 St & 2 Ave,40.73912601,-73.97973776,MN20,Manhattan
517,Pershing Square South,40.751581,-73.97791,MN20,Manhattan
518,E 39 St & 2 Ave,40.74780373,-73.9734419,MN20,Manhattan
519,Pershing Square North,40.751873,-73.977706,MN20,Manhattan
527,E 33 St & 2 Ave,40.744023,-73.976056,MN20,Manhattan
528,2 Ave & E 31 St,40.74290902,-73.97706058,MN20,Manhattan
536,1 Ave & E 30 St,40.74144387,-73.97536082,MN20,Manhattan
540,Lexington Ave & E 29 St,40.74311555,-73.98215353,MN20,Manhattan
546,E 30 St & Park Ave S,40.74444921,-73.98303529,MN20,Manhattan
2012,E 27 St & 1 Ave,40.739445,-73.976806,MN20,Manhattan
3234,E 40 St & Madison Ave,40.75159368,-73.98043156,MN20,Manhattan
3235,E 41 St & Madison Ave,40.75216528,-73.97992194,MN20,Manhattan
297,E 15 St & 3 Ave,40.734232,-73.986923,MN21,Manhattan
325,E 19 St & 3 Ave,40.73624527,-73.98473765,MN21,Manhattan
461,E 20 St & 2 Ave,40.73587678,-73.98205027,MN21,Manhattan
475,E 16 St & Irving Pl,40.73524276,-73.98758561,MN21,Manhattan
503,E 20 St & Park Ave,40.73827428,-73.98751968,MN21,Manhattan
537,Lexington Ave & E 24 St,40.74025878,-73.98409214,MN21,Manhattan
236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,MN22,Manhattan
237,E 11 St & 2 Ave,40.73047309,-73.98672378,MN22,Manhattan
300,Shevchenko Pl & E 7 St,40.728145,-73.990214,MN22,Manhattan
301,E 2 St & Avenue B,40.72217444,-73.98368779,MN22,Manhattan
317,E 6 St & Avenue B,40.72453734,-73.98185424,MN22,Manhattan
326,E 11 St & 1 Ave,40.72953837,-73.98426726,MN22,Manhattan
403,E 2 St & 2 Ave,40.72502876,-73.99069656,MN22,Manhattan
428,E 3 St & 1 Ave,40.72467721,-73.98783413,MN22,Manhattan
432,E 7 St & Avenue A,40.72621788,-73.98379855,MN22,Manhattan
433,E 13 St & Avenue A,40.72955361,-73.98057249,MN22,Manhattan
438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,MN22,Manhattan
439,E 4 St & 2 Ave,40.7262807,-73.98978041,MN22,Manhattan
445,E 10 St & Avenue A,40.72740794,-73.98142006,MN22,Manhattan
483,E 12 St & 3 Ave,40.73223272,-73.98889957,MN22,Manhattan
127,Barrow St & Hudson St,40.73172428,-74.00674436,MN23,Manhattan
161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,MN23,Manhattan
223,W 13 St & 7 Ave,40.73781509,-73.99994661,MN23,Manhattan
225,W 14 St & The High Line,40.74195138,-74.00803013,MN23,Manhattan
229,Great Jones St,40.72743423,-73.99379025,MN23,Manhattan
238,Bank St & Washington St,40.7361967,-74.00859207,MN23,Manhattan
247,Perry St & Bleecker St,40.73535398,-74.00483091,MN23,Manhattan
252,MacDougal St & Washington Sq,40.73226398,-73.99852205,MN23,Manhattan
253,W 13 St & 5 Ave,40.73543934,-73.99453948,MN23,Manhattan
254,W 11 St & 6 Ave,40.73532427,-73.99800419,MN23,Manhattan
280,E 10 St & 5 Ave,40.73331967,-73.99510132,MN23,Manhattan
284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,MN23,Manhattan
285,Broadway & E 14 St,40.73454567,-73.99074142,MN23,Manhattan
293,Lafayette St & E 8 St,40.73028666,-73.9907647,MN23,Manhattan
294,Washington Square E,40.73049393,-73.9957214,MN23,Manhattan
335,Washington Pl & Broadway,40.72903917,-73.99404649,MN23,Manhattan
336,Sullivan St & Washington Sq,40.73047747,-73.99906065,MN23,Manhattan
345,W 13 St & 6 Ave,40.73649403,-73.99704374,MN23,Manhattan
346,Bank St & Hudson St,40.73652889,-74.00618026,MN23,Manhattan
357,E 11 St & Broadway,40.73261787,-73.99158043,MN23,Manhattan
358,Christopher St & Greenwich St,40.73291553,-74.00711384,MN23,Manhattan
368,Carmine St & 6 Ave,40.73038599,-74.00214988,MN23,Manhattan
369,Washington Pl & 6 Ave,40.73224119,-74.00026394,MN23,Manhattan
375,Mercer St & Bleecker St,40.72679454,-73.99695094,MN23,Manhattan
380,W 4 St & 7 Ave S,40.73401143,-74.00293877,MN23,Manhattan
382,University Pl & E 14 St,40.73492695,-73.99200509,MN23,Manhattan
383,Greenwich Ave & Charles St,40.735238,-74.000271,MN23,Manhattan
404,9 Ave & W 14 St,40.7405826,-74.00550867,MN23,Manhattan
405,Washington St & Gansevoort St,40.739323,-74.008119,MN23,Manhattan
3224,W 13 St & Hudson St,40.73997354,-74.00513873,MN23,Manhattan
79,Franklin St & W Broadway,40.71911552,-74.00666661,MN24,Manhattan
128,MacDougal St & Prince St,40.72710258,-74.00297088,MN24,Manhattan
146,Hudson St & Reade St,40.71625008,-74.0091059,MN24,Manhattan
147,Greenwich St & Warren St,40.71542197,-74.01121978,MN24,Manhattan
151,Cleveland Pl & Spring St,40.72210379,-73.99724901,MN24,Manhattan
152,Warren St & Church St,40.71473993,-74.00910627,MN24,Manhattan
248,Laight St & Hudson St,40.72185379,-74.00771779,MN24,Manhattan
249,Harrison St & Hudson St,40.71870987,-74.0090009,MN24,Manhattan
250,Lafayette St & Jersey St,40.72456089,-73.99565293,MN24,Manhattan
251,Mott St & Prince St,40.72317958,-73.99480012,MN24,Manhattan
257,Lispenard St & Broadway,40.71939226,-74.00247214,MN24,Manhattan
263,Elizabeth St & Hester St,40.71729,-73.996375,MN24,Manhattan
268,Howard St & Centre St,40.71910537,-73.99973337,MN24,Manhattan
